item_name,merchant_supplied_id,variant_id,variation_name,variance,size_variance,price,sale_price,in_stock_rate,photo_url,product_description
Faux Fur Trim Puffer Bomber Jacket,663776184,344-437-00099-200,navy blue - XXS,navy blue,XXS,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5060-00099-200_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663776192,344-437-00099-200,navy blue - XS,navy blue,XS,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5060-00099-200_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663776205,344-437-00099-200,navy blue - S,navy blue,S,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5060-00099-200_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663776643,344-437-00099-200,navy blue - M,navy blue,M,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5060-00099-200_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663776651,344-437-00099-200,navy blue - L,navy blue,L,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5060-00099-200_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663776660,344-437-00099-200,navy blue - XL,navy blue,XL,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5060-00099-200_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663776678,344-437-00099-200,navy blue - XXL,navy blue,XXL,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5060-00099-200_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663776281,344-437-00096-601,light lilac - XXS,light lilac,XXS,"INR9,073.23",,Unavailable,https://img.hollisterco.com/is/image/anf/KIC_344-5063-00096-601_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663776299,344-437-00096-601,light lilac - XS,light lilac,XS,"INR9,073.23",,Unavailable,https://img.hollisterco.com/is/image/anf/KIC_344-5063-00096-601_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663776301,344-437-00096-601,light lilac - S,light lilac,S,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5063-00096-601_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663776310,344-437-00096-601,light lilac - M,light lilac,M,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5063-00096-601_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663776774,344-437-00096-601,light lilac - L,light lilac,L,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5063-00096-601_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663776782,344-437-00096-601,light lilac - XL,light lilac,XL,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5063-00096-601_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663776791,344-437-00096-601,light lilac - XXL,light lilac,XXL,"INR9,073.23",,Unavailable,https://img.hollisterco.com/is/image/anf/KIC_344-5063-00096-601_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663776213,344-437-00095-900,black - XXS,black,XXS,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5061-00095-900_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663776230,344-437-00095-900,black - XS,black,XS,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5061-00095-900_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663776248,344-437-00095-900,black - S,black,S,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5061-00095-900_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663776694,344-437-00095-900,black - M,black,M,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5061-00095-900_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663776723,344-437-00095-900,black - L,black,L,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5061-00095-900_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663776740,344-437-00095-900,black - XL,black,XL,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5061-00095-900_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663776766,344-437-00095-900,black - XXL,black,XXL,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5061-00095-900_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663776221,344-437-00095-100,cloud white - XXS,cloud white,XXS,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5061-00095-100_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
Faux Fur Trim Puffer Bomber Jacket,663776256,344-437-00095-100,cloud white - XS,cloud white,XS,"INR9,073.23",,Backorderable,https://img.hollisterco.com/is/image/anf/KIC_344-5061-00095-100_model1?policy=product-large,"A cozy puffer bomber jacket designed with quilted channels, banded hems and a faux fur-trimmed hood. Mock-neck collar, thumb openings at sleeve cuffs, full zip-up closure, pockets. Imported."
